id,taxonomy_type,common_term,xbrl_tag
1,general,total_assets,Assets
2,general,current_assets,CurrentAssets
3,general,total_liabilities,Liabilities
4,general,current_liabilities,CurrentLiabilities
5,general,total_equity,Equity
6,general,revenue,SalesAndRevenue
7,general,gross_profit,GrossProfit
8,general,operating_profit,ProfitLossBeforeIncomeTax
9,general,net_income,ProfitLoss
10,general,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
11,general,capital_expenditure,PaymentsForPropertyPlantAndEquipment
12,general,outstanding_shares,NumberOfSharesOutstanding
13,banking,total_assets,Assets
14,banking,current_assets,CashAndCashEquivalents
15,banking,total_liabilities,Liabilities
16,banking,current_liabilities,DepositsFromCustomers
17,banking,total_equity,Equity
18,banking,revenue,TotalInterestAndShariaIncome
19,banking,gross_profit,NetInterestAndShariaIncome
20,banking,operating_profit,ProfitFromOperation
21,banking,net_income,ProfitLoss
22,banking,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
23,banking,capital_expenditure,PaymentsForPropertyPlantAndEquipment
24,banking,outstanding_shares,NumberOfSharesOutstanding
25,general,cash_and_equivalents,CashAndCashEquivalents
26,general,interest_expense,InterestExpenses
27,general,tax_expense,IncomeTaxExpense
28,banking,cash_and_equivalents,CashAndCashEquivalents
29,banking,interest_expense,InterestExpenses
30,banking,tax_expense,IncomeTaxExpense
31,Non-Financial,interest_expense,FinanceCosts
35,Non-Financial,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
36,Non-Financial,capital_expenditure,PaymentsForAcquisitionOfPropertyPlantAndEquipment
37,Non-Financial,interest_expense,FinanceCosts
38,Non-Financial,interest_expense,InterestExpense
39,Non-Financial,operating_cash_flow,NetCashFlowsReceivedFromUsedInOperatingActivities
40,Non-Financial,interest_expense,InterestAndFinanceCosts
41,Non-Financial,capital_expenditure,AdditionInPropertyPlantAndEquipment
42,Non-Financial,operating_cash_flow,NetCashFlowsReceivedFromUsedInOperatingActivities
43,Non-Financial,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities
44,Non-Financial,capital_expenditure,AdditionInPropertyPlantAndEquipment
45,Non-Financial,capital_expenditure,PaymentsForAcquisitionOfPropertyPlantAndEquipment
46,Non-Financial,interest_expense,InterestAndFinanceCosts
47,Non-Financial,interest_expense,FinanceCosts
48,banking,revenue,idx-cor:IncomeFromConsumerFinancing
49,banking,revenue,idx-cor:IncomeFromFinanceLease
50,banking,revenue,idx-cor:AdministrationIncome
51,banking,revenue,idx-cor:InterestAndFinanceIncome
52,banking,revenue,idx-cor:IncomeFromIjarah
53,banking,revenue,idx-cor:RevenueFromFinancing
54,banking,revenue,idx-cor:TotalOperatingIncome
55,general,cash_and_equivalents,CashAndBankBalances
56,general,cash_and_equivalents,Cash
57,general,cash_and_equivalents,CashOnHand
58,general,cash_and_equivalents,CashAndCashEquivalentsAtEndOfPeriod
59,Non-Financial,cash_and_equivalents,CashAndCashEquivalents
60,Non-Financial,cash_and_equivalents,CashAndBankBalances
61,Non-Financial,cash_and_equivalents,Cash
62,Non-Financial,cash_and_equivalents,CashOnHand
63,Non-Financial,cash_and_equivalents,CashAndCashEquivalentsAtEndOfPeriod
64,general,cash_and_equivalents,CashAndCashEquivalents
65,general,cash_and_equivalents,CashAndBankBalances
66,general,net_income,ProfitLossAttributableToParentEntity
67,general,total_equity,EquityAttributableToEquityOwnersOfParentEntity
68,general,operating_cash_flow,NetCashFlowsReceivedFromUsedInOperatingActivities
69,general,current_assets,CurrentAssets
70,general,current_liabilities,CurrentLiabilities
72,general,gross_profit,GrossProfit
73,banking,revenue,InterestIncome
74,insurance,revenue,RevenueFromInsurancePremiums
