ticker,priority,added_at,is_processed
ARCI,1,2026-08-22 14:05:00.096481,f
PSAB,2,2026-08-22 14:05:00.096481,f
BRMS,3,2026-08-22 14:05:00.096481,f
SQMI,4,2026-08-22 14:05:00.096481,f
EMAS,5,2026-08-22 14:05:00.096481,f
MDKA,6,2026-08-24 09:30:40.494766,f
ANTM,7,2026-08-24 09:30:40.494766,f
HRTA,8,2026-08-24 09:30:40.494766,f
AMMN,9,2026-08-24 09:30:40.494766,f
AADI,10,2026-09-05 12:19:54.432409,f
AALI,11,2026-09-05 12:19:54.432409,f
ABBA,12,2026-09-05 12:19:54.432409,f
ABDA,13,2026-09-05 12:19:54.432409,f
ABMM,14,2026-09-05 12:19:54.432409,f
ACES,15,2026-09-05 12:19:54.432409,f
ACRO,16,2026-09-05 12:19:54.432409,f
ACST,17,2026-09-05 12:19:54.432409,f
ADCP,18,2026-09-05 12:19:54.432409,f
ADES,19,2026-09-05 12:19:54.432409,f
ADHI,20,2026-09-05 12:19:54.432409,f
ADMF,21,2026-09-05 12:19:54.432409,f
ADMG,22,2026-09-05 12:19:54.432409,f
ADMR,23,2026-09-05 12:19:54.432409,f
ADRO,24,2026-09-05 12:19:54.432409,f
AEGS,25,2026-09-05 12:19:54.432409,f
AGAR,26,2026-09-05 12:19:54.432409,f
AGII,27,2026-09-05 12:19:54.432409,f
AGRO,28,2026-09-05 12:19:54.432409,f
AGRS,29,2026-09-05 12:19:54.432409,f
AHAP,30,2026-09-05 12:19:54.432409,f
AIMS,31,2026-09-05 12:19:54.432409,f
AISA,32,2026-09-05 12:19:54.432409,f
AKKU,33,2026-09-05 12:19:54.432409,f
AKPI,34,2026-09-05 12:19:54.432409,f
AKRA,35,2026-09-05 12:19:54.432409,f
AKSI,36,2026-09-05 12:19:54.432409,f
ALDO,37,2026-09-05 12:19:54.432409,f
ALII,38,2026-09-05 12:19:54.432409,f
ALKA,39,2026-09-05 12:19:54.432409,f
ALMI,40,2026-09-05 12:19:54.432409,f
ALTO,41,2026-09-05 12:19:54.432409,f
AMAG,42,2026-09-05 12:19:54.432409,f
AMAN,43,2026-09-05 12:19:54.432409,f
AMAR,44,2026-09-05 12:19:54.432409,f
AMFG,45,2026-09-05 12:19:54.432409,f
AMIN,46,2026-09-05 12:19:54.432409,f
AMMS,47,2026-09-05 12:19:54.432409,f
AMOR,48,2026-09-05 12:19:54.432409,f
AMRT,49,2026-09-05 12:19:54.432409,f
ANDI,50,2026-09-05 12:19:54.432409,f
ANJT,51,2026-09-05 12:19:54.432409,f
APEX,52,2026-09-05 12:19:54.432409,f
APIC,53,2026-09-05 12:19:54.432409,f
APII,54,2026-09-05 12:19:54.432409,f
APLI,55,2026-09-05 12:19:54.432409,f
APLN,56,2026-09-05 12:19:54.432409,f
AREA,57,2026-09-05 12:19:54.432409,f
ARGO,58,2026-09-05 12:19:54.432409,f
ARII,59,2026-09-05 12:19:54.432409,f
ARKA,60,2026-09-05 12:19:54.432409,f
ARKO,61,2026-09-05 12:19:54.432409,f
ARMY,62,2026-09-05 12:19:54.432409,f
ARNA,63,2026-09-05 12:19:54.432409,f
ARTA,64,2026-09-05 12:19:54.432409,f
ARTI,65,2026-09-05 12:19:54.432409,f
ARTO,66,2026-09-05 12:19:54.432409,f
ASBI,67,2026-09-05 12:19:54.432409,f
ASDM,68,2026-09-05 12:19:54.432409,f
ASGR,69,2026-09-05 12:19:54.432409,f
ASHA,70,2026-09-05 12:19:54.432409,f
ASII,71,2026-09-05 12:19:54.432409,f
ASJT,72,2026-09-05 12:19:54.432409,f
ASLC,73,2026-09-05 12:19:54.432409,f
ASLI,74,2026-09-05 12:19:54.432409,f
ASMI,75,2026-09-05 12:19:54.432409,f
ASPI,76,2026-09-05 12:19:54.432409,f
ASPR,77,2026-09-05 12:19:54.432409,f
ASRM,78,2026-09-05 12:19:54.432409,f
ASSA,79,2026-09-05 12:19:54.432409,f
ATAP,80,2026-09-05 12:19:54.432409,f
ATIC,81,2026-09-05 12:19:54.432409,f
ATLA,82,2026-09-05 12:19:54.432409,f
AUTO,83,2026-09-05 12:19:54.432409,f
AVIA,84,2026-09-05 12:19:54.432409,f
AWAN,85,2026-09-05 12:19:54.432409,f
AXIO,86,2026-09-05 12:19:54.432409,f
AYAM,87,2026-09-05 12:19:54.432409,f
AYLS,88,2026-09-05 12:19:54.432409,f
BABP,89,2026-09-05 12:19:54.432409,f
BABY,90,2026-09-05 12:19:54.432409,f
BACA,91,2026-09-05 12:19:54.432409,f
BACH,92,2026-09-05 12:19:54.432409,f
BAIK,93,2026-09-05 12:19:54.432409,f
BAJA,94,2026-09-05 12:19:54.432409,f
BALI,95,2026-09-05 12:19:54.432409,f
BANK,96,2026-09-05 12:19:54.432409,f
BAPA,97,2026-09-05 12:19:54.432409,f
BAPI,98,2026-09-05 12:19:54.432409,f
BATA,99,2026-09-05 12:19:54.432409,f
BATR,100,2026-09-05 12:19:54.432409,f
BAUT,101,2026-09-05 12:19:54.432409,f
BAYU,102,2026-09-05 12:19:54.432409,f
BBCA,103,2026-09-05 12:19:54.432409,f
BBHI,104,2026-09-05 12:19:54.432409,f
BBKP,105,2026-09-05 12:19:54.432409,f
BBLD,106,2026-09-05 12:19:54.432409,f
BBMD,107,2026-09-05 12:19:54.432409,f
BBNI,108,2026-09-05 12:19:54.432409,f
BBRI,109,2026-09-05 12:19:54.432409,f
BBRM,110,2026-09-05 12:19:54.432409,f
BBSI,111,2026-09-05 12:19:54.432409,f
BBSS,112,2026-09-05 12:19:54.432409,f
BBTN,113,2026-09-05 12:19:54.432409,f
BBYB,114,2026-09-05 12:19:54.432409,f
BCAP,115,2026-09-05 12:19:54.432409,f
BCIC,116,2026-09-05 12:19:54.432409,f
BCIP,117,2026-09-05 12:19:54.432409,f
BDKR,118,2026-09-05 12:19:54.432409,f
BDMN,119,2026-09-05 12:19:54.432409,f
BEBS,120,2026-09-05 12:19:54.432409,f
BEEF,121,2026-09-05 12:19:54.432409,f
BEER,122,2026-09-05 12:19:54.432409,f
BEKS,123,2026-09-05 12:19:54.432409,f
BELI,124,2026-09-05 12:19:54.432409,f
BELL,125,2026-09-05 12:19:54.432409,f
BESS,126,2026-09-05 12:19:54.432409,f
BEST,127,2026-09-05 12:19:54.432409,f
BFIN,128,2026-09-05 12:19:54.432409,f
BGTG,129,2026-09-05 12:19:54.432409,f
BHAT,130,2026-09-05 12:19:54.432409,f
BHIT,131,2026-09-05 12:19:54.432409,f
BIKA,132,2026-09-05 12:19:54.432409,f
BIKE,133,2026-09-05 12:19:54.432409,f
BIMA,134,2026-09-05 12:19:54.432409,f
BINA,135,2026-09-05 12:19:54.432409,f
BINO,136,2026-09-05 12:19:54.432409,f
BIPI,137,2026-09-05 12:19:54.432409,f
BIPP,138,2026-09-05 12:19:54.432409,f
BIRD,139,2026-09-05 12:19:54.432409,f
BISI,140,2026-09-05 12:19:54.432409,f
BJBR,141,2026-09-05 12:19:54.432409,f
BJTM,142,2026-09-05 12:19:54.432409,f
BKDP,143,2026-09-05 12:19:54.432409,f
BKSL,144,2026-09-05 12:19:54.432409,f
BKSW,145,2026-09-05 12:19:54.432409,f
BLES,146,2026-09-05 12:19:54.432409,f
BLOG,147,2026-09-05 12:19:54.432409,f
BLTA,148,2026-09-05 12:19:54.432409,f
BLTZ,149,2026-09-05 12:19:54.432409,f
BLUE,150,2026-09-05 12:19:54.432409,f
BMAS,151,2026-09-05 12:19:54.432409,f
BMBL,152,2026-09-05 12:19:54.432409,f
BMHS,153,2026-09-05 12:19:54.432409,f
BMRI,154,2026-09-05 12:19:54.432409,f
BMSR,155,2026-09-05 12:19:54.432409,f
BMTR,156,2026-09-05 12:19:54.432409,f
BNBA,157,2026-09-05 12:19:54.432409,f
BNBR,158,2026-09-05 12:19:54.432409,f
BNGA,159,2026-09-05 12:19:54.432409,f
BNII,160,2026-09-05 12:19:54.432409,f
BNLI,161,2026-09-05 12:19:54.432409,f
BOAT,162,2026-09-05 12:19:54.432409,f
